epoch,p2p,d,p2p_val,d_val,time
110,11.3492,0.189925,45.0366,1.31575,96.3238339424
111,11.0953,0.281757,27.8401,0.663266,96.1791391373
112,11.0114,0.335228,29.484,0.250522,96.1929759979
113,10.9091,0.228951,23.9931,0.363082,96.2281799316
114,11.1766,0.299682,31.6742,0.334624,96.1254570484
115,11.1021,0.287746,20.2356,0.461599,96.3053519726
116,10.9858,0.366745,39.2663,0.536108,96.0546820164
117,10.9118,0.178868,42.9897,0.150259,96.0930299759
118,11.0008,0.134275,18.055,2.27623,96.7918169498
119,11.7348,0.604909,17.5323,0.398276,96.6705579758
120,11.4491,0.373192,18.5126,0.290731,96.5587239265
121,11.0113,0.246484,30.3745,0.544989,96.4331839085
122,10.8964,0.244379,16.1724,0.73705,96.7043559551
123,10.9704,0.330334,19.994,0.415946,96.6017868519
124,10.9732,0.288281,20.6963,0.299355,96.460201025
125,10.8792,0.274803,22.2988,0.249535,96.4558160305
126,10.5739,0.202865,24.369,0.198197,96.3042619228
127,10.5763,0.176585,27.8662,0.143388,96.4125390053
128,10.5272,0.128577,17.0006,1.17871,96.6167578697
129,10.9781,0.366045,22.2679,0.289683,96.7335269451
130,10.7842,0.179107,38.1069,0.838045,96.2480039597
131,10.7203,0.301436,22.0128,0.376781,97.0136110783
132,10.4909,0.216052,18.6416,0.428517,96.5982379913
133,10.77,0.268233,17.0748,0.440481,96.4137401581
134,10.5934,0.344064,17.8277,0.346803,96.1487059593
135,10.4903,0.300133,21.3537,0.239283,96.3502218723
136,10.42,0.166976,43.887,0.615555,96.5400412083
137,10.1777,0.14718,49.0152,0.205896,96.4438610077
138,9.99595,0.119864,37.2585,0.101551,96.2499060631
139,10.2754,0.0759111,52.5055,0.0557029,96.4490950108
140,10.2533,0.0431439,53.8046,0.0531413,96.2086780071
141,10.0427,0.0401156,45.6497,0.133412,96.1551570892
142,10.0339,0.107216,30.6313,0.613247,96.4505589008
143,9.89992,0.194261,38.9453,0.114833,96.3236739635
144,10.0363,0.103538,47.2089,0.0748546,96.4210870266
145,9.82769,0.0658112,24.906,0.8023,96.5875771046
146,9.87801,0.205175,23.6618,0.221377,96.4192099571
147,9.64984,0.157672,22.4392,0.192496,96.4921030998
148,9.8496,0.178601,17.7369,0.405229,96.4118061066
149,9.93195,0.222607,35.0523,0.808301,96.183147192
150,9.95603,0.180287,15.3314,1.96726,96.7720689774
151,9.81934,0.417556,16.763,0.398572,96.5248930454
152,9.85134,0.291579,17.1811,0.312405,96.4578559399
153,9.8644,0.228643,24.567,0.459179,96.3201479912
154,9.59594,0.183623,29.6722,0.156814,96.5341219902
155,9.8917,0.144396,27.8581,0.982298,96.231345892
156,9.97381,0.37761,13.8105,1.29852,96.2083599567
157,10.733,0.66239,16.229,0.678991,96.2549901009
158,10.6715,0.588015,17.0084,0.420725,96.0308680534
159,10.3818,0.311524,16.3277,0.371247,96.0394911766
160,10.123,0.295739,17.1214,0.275012,96.1485040188
161,10.0325,0.238863,19.4099,0.350271,96.2784318924
162,9.68723,0.216142,35.461,0.707727,96.1012830734
163,9.5219,0.212943,38.4212,0.165768,95.8415009975
164,9.74505,0.140773,38.6511,0.141801,96.0213570595
165,9.35178,0.118597,22.9749,0.309301,96.3220288754
166,9.31665,0.200346,16.5328,0.524356,96.6013259888
167,9.50517,0.25337,17.1427,0.357504,96.3634541035
168,9.27388,0.24482,16.7113,0.245672,96.5265460014
169,9.35885,0.205574,14.6638,1.96516,96.5591208935
170,9.79567,0.848127,23.085,0.775392,96.3222179413
171,9.80785,0.583296,15.5977,0.553745,96.273047924
172,10.3567,0.482181,16.1666,0.986281,96.2777388096
173,10.3161,0.68009,14.1243,0.788767,96.311798811
174,9.88769,0.650614,17.8501,0.738904,96.5690050125
175,9.25708,0.4038,22.0314,0.358857,96.2614588737
176,9.32243,0.294715,17.6594,0.326789,95.9482820034
177,9.2677,0.238886,27.5563,0.57963,96.0331749916
178,9.12651,0.308538,19.7914,0.328594,96.1141531467
179,9.24504,0.295036,18.2361,0.283534,96.0824539661
180,8.8854,0.239647,15.0825,0.945962,96.474971056
181,9.15638,0.382475,14.707,0.811653,96.347922802
182,9.05484,0.490165,18.4259,1.13767,96.4053020477
183,9.40752,0.682204,14.3747,0.740302,96.2765510082
184,9.50213,0.551248,24.9205,1.09239,96.0391359329
185,9.03308,0.366126,24.5087,0.267983,96.5591540337
186,8.61628,0.235168,16.9319,0.367556,96.7342209816
187,8.73903,0.208153,23.9747,0.34605,96.4999539852
188,8.59491,0.215241,15.4375,1.12018,96.3190920353
189,8.58529,0.378122,15.6544,1.26351,96.1937100887
190,8.78601,0.549588,16.3366,0.783575,96.0407640934
191,9.5763,0.531472,16.8547,0.518109,96.1080768108
192,8.95531,0.400848,17.9352,0.322301,96.4859108925
193,8.67369,0.294006,16.2386,0.502001,96.4099299908
194,8.99242,0.377708,17.2764,0.351505,96.2987401485
195,8.9038,0.304006,15.9159,0.43269,96.1254580021
196,9.10071,0.327617,15.9147,0.630614,96.4700191021
197,8.98196,0.454635,18.129,0.952828,96.2211611271
198,8.92354,0.662138,20.7843,0.553762,96.478621006
199,8.83293,0.465531,21.7006,0.575911,96.248499155
200,8.60016,0.520066,25.8981,0.455733,96.6747808456
201,8.68926,0.426009,15.2456,1.28173,96.4586079121
202,9.1753,0.530852,26.3812,0.798375,96.3412268162
203,8.68338,0.390204,16.2546,0.537873,96.2289149761
204,8.73104,0.31122,19.6445,0.526053,96.3012320995
205,8.37539,0.25395,16.7655,0.427911,96.406701088
206,8.36937,0.266712,39.1976,0.731144,96.2897319794
207,8.55083,0.221984,39.1488,0.304722,96.0935509205
208,8.21957,0.223183,22.1308,0.32013,95.8925640583
209,8.25269,0.252022,31.3657,0.279911,95.9892950058
210,8.11302,0.21493,31.5597,0.182348,95.9273109436
211,7.92538,0.167756,26.4535,0.189911,96.4375839233
212,7.96205,0.173694,36.8713,0.175766,96.3449540138
213,8.16526,0.149821,44.0568,0.117964,96.2503829002
214,7.77572,0.0942852,35.2478,0.349873,96.4762740135
215,7.6714,0.218387,29.821,0.130678,96.4276549816
216,7.46645,0.114126,25.7335,0.288869,96.3415219784
217,7.77995,0.175803,30.0551,0.154541,96.4115209579
218,7.61624,0.128068,49.2276,0.223169,96.6420109272
219,7.63019,0.113979,35.6857,0.314787,96.3244249821
220,7.8622,0.196723,25.2578,0.143485,96.3917851448
221,7.46618,0.123662,22.7698,0.154232,96.3306450844
222,7.59655,0.125014,36.4433,0.115843,96.3055179119
223,7.5944,0.0968618,18.5594,0.421603,96.6130390167
224,8.04402,0.32586,15.4962,0.79592,96.5425870419
225,7.88167,0.284204,16.8812,0.370348,96.3770129681
226,7.66232,0.263062,14.7741,1.27536,96.4929459095
227,7.71538,0.469712,16.872,0.309799,96.429484129
228,7.6418,0.220739,23.2517,0.618994,96.0755741596
229,7.60576,0.279609,23.1296,0.185349,96.3384380341
230,7.48502,0.174323,22.3879,0.129124,96.1988120079
231,7.50042,0.109748,23.24,0.243281,96.0886809826
232,7.69561,0.170788,17.7289,0.196138,96.2121939659
233,7.71451,0.162059,19.0423,0.150106,96.0897221565
234,7.99861,0.137612,18.1597,0.278718,96.5026209354
235,8.79617,0.213451,15.0597,0.982593,96.541218996
236,9.28876,0.436237,16.6035,0.640634,96.4158530235
237,8.06024,0.340088,18.5538,0.218781,96.2933559418
238,7.62397,0.190918,19.1434,0.315752,96.5811331272
239,7.70752,0.233895,18.8874,0.195505,96.4036688805
240,7.70569,0.178498,35.9789,0.891412,96.6377949715
241,7.57556,0.314039,17.2276,0.484373,96.3017880917
242,7.58569,0.250531,21.8994,0.296251,96.3580369949
243,7.4111,0.243839,18.1849,0.235116,96.5857021809
244,7.87243,0.179671,16.608,0.577652,96.3750448227
245,7.87585,0.338682,16.833,0.245546,96.1103830338
246,7.43661,0.205328,14.126,1.12244,96.3562791348
247,7.62147,0.501987,16.0179,0.445977,96.1945338249
248,7.40117,0.269894,17.7423,0.41671,96.40558815
249,7.39449,0.283318,15.8488,0.51443,96.4004678726
250,7.26408,0.34819,15.8694,0.278354,96.291082859
251,7.27411,0.237535,17.2525,0.342197,96.5009820461
252,7.11045,0.254038,17.3764,0.227215,96.4910709858
253,7.15659,0.217911,17.6159,0.203165,96.510384798
254,7.04602,0.174117,16.9802,0.239385,96.9655559063
255,7.0919,0.209027,18.4674,0.251906,96.5000019073
256,7.16323,0.205806,15.7577,0.389342,96.2787051201
257,7.18975,0.285315,16.6796,0.289366,96.0839209557
258,7.03506,0.216258,18.3541,0.417569,96.2994410992
259,7.15094,0.265001,18.7214,0.169792,96.0465300083
260,6.89513,0.153385,18.2477,0.154372,96.0839390755
261,6.90544,0.145297,17.9345,0.147114,96.3996391296
262,6.84983,0.14196,18.4335,0.217371,95.990418911
263,6.92237,0.186161,17.1905,0.232871,96.0192799568
264,6.99655,0.188135,17.9517,0.196958,96.1697740555
265,6.8772,0.171739,15.576,1.43191,95.9807169437
266,7.10078,0.496558,16.169,0.510696,96.000549078
267,6.97861,0.315085,15.31,0.589249,95.9651350975
268,7.19512,0.35767,15.2579,0.633339,95.9037048817
269,7.08981,0.388278,14.9663,0.668258,95.9228420258
270,7.14111,0.454114,14.9804,0.617648,96.0927679539
271,7.4768,0.449136,14.8826,0.679269,95.9655740261
272,7.15021,0.458823,15.1058,0.549738,96.0598709583
273,7.0882,0.421066,15.636,0.517064,96.5696749687
274,6.98863,0.362083,16.3139,0.348836,96.6067049503
275,7.00977,0.274853,15.7817,0.329858,96.3735949993
276,7.15387,0.284754,15.3871,0.385208,96.7510650158
277,7.25056,0.320768,17.0357,0.524047,96.3498079777
278,7.00306,0.28224,21.5846,0.324445,96.382641077
279,6.87988,0.230609,24.5682,0.249561,96.2569460869
280,6.93552,0.197494,21.8399,0.224557,96.2169659138
281,6.76736,0.20719,24.7042,0.235773,96.434128046
282,6.84382,0.197498,22.2338,0.147086,96.343490839
283,6.70107,0.130777,17.7953,0.196846,96.5654020309
284,6.892,0.148862,18.6376,0.165136,96.3098840714
285,6.87039,0.138942,16.8233,0.379194,96.3230578899
286,7.0856,0.217871,18.0678,0.21931,96.2868750095
287,6.80603,0.193145,16.6042,0.449144,96.2190110683
288,6.9312,0.26322,18.0346,0.249704,96.1826479435
289,6.78504,0.161341,17.8964,0.25493,96.1383039951
290,6.66863,0.168956,18.5411,0.139364,96.7227358818
291,6.65082,0.130361,15.3197,0.809913,96.4553780556
292,6.83387,0.327064,15.2131,1.86362,96.262057066
293,7.12195,0.588408,18.5894,0.825132,96.5558860302
294,7.03446,0.507682,15.922,0.501225,96.5634930134
295,7.12463,0.415585,16.4977,0.534812,96.4922850132
296,6.86656,0.430098,15.8838,0.47267,96.4962182045
297,6.66294,0.372569,15.0277,0.418018,96.5609579086
298,6.65864,0.322642,15.1467,0.484873,96.3726201057
299,7.08289,0.372537,14.7524,1.03185,96.123098135
300,7.30364,0.429023,14.3119,1.26804,96.7525851727
301,7.12298,0.545609,28.4142,1.44527,96.2633068562
302,6.95562,0.339227,17.8119,0.278328,96.0020859241
