epoch,p2p,d,p2p_val,d_val,time
1,26.991,0.517311,29.7137,0.268223,226.977283955
2,20.1019,0.143056,30.0554,0.0961636,77.0111379623
3,17.5028,0.035154,29.8057,0.0345116,75.2827751637
4,16.0703,0.0134676,29.8839,0.0127463,74.0491490364
5,15.523,0.00534455,29.5431,0.00545251,72.4850518703
6,15.1252,0.00260459,29.2526,0.00368666,71.8412261009
7,14.8322,0.00202878,28.8855,0.00254104,71.7477300167
8,14.8762,0.00207518,28.1155,0.0031004,69.935147047
9,14.6967,0.00202789,27.0687,0.00373364,70.9191229343
10,14.5445,0.204122,24.2552,0.119446,69.8031110764
11,14.3929,0.0375093,25.8253,0.00409416,68.7863459587
12,14.2366,0.0036092,22.069,0.0241596,68.7976431847
13,14.0766,0.00932435,24.1917,0.00798156,71.6748600006
14,14.1463,0.00632013,20.4094,0.0357488,69.0358598232
15,13.9315,0.0242349,21.5607,0.0320851,70.4420340061
16,13.8777,0.0187746,21.9518,0.0173939,68.8512709141
17,13.743,0.0103121,21.2889,0.0129928,68.5317180157
18,13.665,0.0089358,19.2959,0.0350979,68.9030020237
19,15.597,0.0141105,15.6433,3.82105,69.1074430943
20,14.3788,1.21076,16.0004,0.419015,69.9760789871
21,13.9535,0.309119,17.5451,0.209094,69.5126008987
22,13.8192,0.185497,17.6355,0.188789,69.4462380409
23,13.5427,0.129652,16.907,0.153712,69.2497119904
24,13.567,0.115702,16.2575,0.42827,68.7798378468
25,13.5085,0.204822,18.2036,0.434338,69.1931290627
26,13.4283,0.131236,23.7219,3.76226,68.2461891174
27,13.4429,0.62631,29.8825,0.985166,68.5101101398
28,13.2864,0.28253,28.1361,0.209905,68.4585568905
29,13.2778,0.16579,29.5046,0.489515,70.0417840481
30,13.4946,0.303012,27.1051,0.226917,69.6479899883
31,13.2916,0.205411,31.5139,0.344396,68.9023859501
32,13.2551,0.215073,33.1014,0.179467,68.6295039654
33,13.2014,0.151309,35.6973,0.160804,68.5263900757
34,13.2061,0.126797,38.0299,0.287849,68.185434103
35,13.0988,0.158887,47.6518,0.925561,68.7858250141
36,12.95,0.246826,30.3388,0.399391,68.0534110069
37,13.1057,0.183566,36.43,0.239646,68.2982151508
38,13.0628,0.18381,36.3947,0.144217,67.9472959042
39,13.013,0.129702,26.3762,0.585799,67.8729691505
40,12.9436,0.219176,26.1315,0.264103,69.7505578995
41,12.9613,0.20363,23.9929,0.227039,67.8297271729
42,12.9225,0.20101,25.7348,0.231953,67.8618988991
43,12.79,0.215454,30.9525,0.423181,67.9919888973
44,12.8238,0.236125,36.2207,0.239887,68.7128720284
45,12.7795,0.188595,29.9367,0.346918,69.1119601727
46,12.8667,0.248257,28.5177,0.2459,68.9329771996
47,12.8241,0.244339,37.8933,0.594023,68.2990880013
48,12.8055,0.27478,44.5474,0.208147,68.1419870853
49,12.7747,0.17457,46.1856,0.16112,68.2353198528
50,12.6913,0.131915,56.9484,0.148812,69.3257620335
51,12.5972,0.123643,58.7398,0.116827,68.6391501427
52,12.6084,0.124976,45.89,0.268722,68.7601771355
53,12.7565,0.205089,32.6026,0.381755,68.2842199802
54,12.6965,0.300864,15.331,1.37492,68.2131991386
55,13.2512,0.665328,24.19,1.00421,68.7478640079
56,12.7538,0.412363,33.9728,0.330491,68.0601239204
57,12.5427,0.266408,34.2615,0.322796,68.2146811485
58,12.6583,0.283282,35.3845,0.250917,68.3965749741
59,12.4696,0.247083,31.7546,0.362161,68.3558471203
60,12.5901,0.310064,29.3668,0.266779,69.0198140144
61,12.5176,0.256004,34.7555,0.347709,69.2011449337
62,12.4432,0.294497,34.5768,0.272809,68.42704916
63,12.4614,0.254022,28.4285,0.403671,68.6462650299
64,12.4302,0.316299,35.8367,0.514343,69.1678738594
65,12.5516,0.312982,32.6572,0.267638,68.6212899685
66,12.4825,0.261743,36.2231,0.237145,67.9413101673
67,12.3581,0.234551,30.5148,0.296336,68.1465070248
68,12.3096,0.280052,27.4963,0.346068,68.2075080872
69,12.2675,0.301581,22.044,0.462221,68.5425930023
70,12.5013,0.348115,22.6315,0.359627,70.8350551128
71,12.4012,0.324405,36.1187,1.25516,68.7026371956
72,12.2742,0.364174,25.6171,0.399509,68.4182989597
73,12.2948,0.319039,21.9128,0.507619,69.22706604
74,12.4174,0.360005,25.2062,0.3868,68.359621048
75,12.3372,0.305597,36.2179,0.880986,69.581291914
76,12.2233,0.327882,19.3062,0.785967,68.1835141182
77,12.4305,0.375089,25.0111,0.428222,68.7294549942
78,12.215,0.318411,25.5262,0.303701,68.7223789692
79,12.2152,0.275439,18.4945,0.636735,68.80996418
80,12.448,0.372254,16.0463,1.05723,69.3520150185
81,12.6232,0.675173,17.0929,0.609802,68.6514029503
82,12.5354,0.556487,17.046,1.16415,68.3743240833
83,12.3565,0.430974,24.6336,0.741944,69.5288820267
84,12.0981,0.356588,14.4914,1.23766,68.48488307
85,12.6327,0.62894,19.1277,0.690978,68.6354019642
86,12.4434,0.54479,20.9435,0.503495,68.3963410854
87,12.1905,0.441236,17.4569,0.650123,68.7412941456
88,12.2136,0.518334,15.0437,0.863301,68.2652771473
89,12.501,0.599153,15.2949,0.66065,68.2581779957
90,12.4359,0.574853,19.5184,0.901726,69.2077231407
91,12.0937,0.390909,22.8203,0.330043,68.4912788868
92,11.9057,0.292361,31.6056,0.529457,68.3460540771
93,11.9751,0.302275,33.3327,0.324351,69.3551149368
94,11.8835,0.259582,33.5962,0.292488,68.0318140984
95,12.2321,0.253542,29.6543,0.270123,69.3910918236
96,11.897,0.240497,37.2973,0.332719,68.0878610611
97,11.8603,0.251997,41.9672,0.209263,68.2807250023
98,11.777,0.171585,47.477,0.196444,69.0559470654
99,11.7599,0.192285,41.4184,0.180116,68.3905651569
100,11.6869,0.175276,32.2929,0.253268,69.6181402206
101,11.7614,0.204163,28.8984,0.223719,69.4827289581
102,11.5739,0.213329,36.903,0.265824,68.4490630627
103,11.6881,0.213721,20.4477,0.863051,68.5831940174
104,12.0497,0.336125,16.6408,0.462089,68.396654129
105,11.8331,0.35851,16.7993,0.356481,68.9024538994
106,12.0318,0.323104,34.0047,1.54272,68.4748580456
107,11.78,0.505226,20.8121,0.548572,68.477189064
108,11.7463,0.330597,31.6632,0.320862,68.2520809174
109,11.6544,0.253768,33.3359,0.232772,69.5960190296
110,11.5921,0.214241,40.2804,0.337561,69.1400959492
111,11.5407,0.242001,48.7574,0.251959,69.1285669804
112,11.4167,0.201619,41.2599,0.256174,69.4465231895
113,11.2637,0.186457,41.1193,0.18705,68.4959800243
114,11.4135,0.148846,27.6638,0.514674,68.4130749702
115,11.5692,0.299169,31.656,0.264285,69.8407540321
116,11.3495,0.239548,40.5838,0.261756,68.2100830078
117,11.4453,0.214126,32.1122,0.269708,69.2770478725
118,11.4906,0.246484,30.2782,0.320666,68.933827877
119,11.5189,0.249153,36.9423,0.751229,68.1883471012
120,11.2887,0.430916,38.1155,0.348375,69.3085989952
121,11.3756,0.231312,36.2395,0.269563,69.4488539696
122,11.4224,0.209282,30.4187,0.317325,68.2681469917
123,11.2069,0.335028,30.1011,0.341609,68.9417519569
124,11.457,0.264213,23.2833,0.442067,68.1835780144
125,11.5852,0.308069,25.1828,0.35717,70.1602349281
126,11.5949,0.30756,32.0362,0.332982,68.2424280643
127,11.3408,0.287483,45.0902,0.514016,68.4245128632
128,11.2784,0.302964,36.79,0.299691,68.4577040672
129,11.2028,0.237229,28.1898,0.293036,69.3203830719
130,11.1868,0.254684,17.6103,0.919758,69.3362538815
131,11.3257,0.403884,16.4505,0.61893,69.3261609077
132,11.4924,0.394339,22.6751,0.938882,68.5984621048
133,11.3707,0.406807,28.9004,0.314464,68.3793020248
134,11.2673,0.28402,30.9016,0.386624,68.2926878929
135,11.2085,0.333456,30.3091,0.476964,68.8003489971
136,11.1719,0.370739,43.8963,0.893403,68.7461071014
137,11.1229,0.441544,37.8069,0.328617,68.7206099033
138,11.0573,0.292791,52.4136,0.281268,68.4504318237
139,11.0251,0.247612,42.1726,0.26254,69.1548199654
140,11.0589,0.237554,33.2132,0.446924,70.0173170567
141,11.0245,0.321933,30.8066,0.644625,69.0823609829
142,11.0628,0.425192,40.0627,0.434079,69.518474102
