epoch,gen,recon,disc,lr,time
71,0.998056,0.056035,0.047153,0.000100,27.138871
72,1.003128,0.055623,0.045963,0.000100,26.922687
73,1.004351,0.056088,0.039301,0.000100,26.958577
74,0.999054,0.055359,0.043356,0.000100,26.814656
75,1.002568,0.054609,0.041550,0.000100,26.769443
76,0.999249,0.054739,0.042365,0.000100,26.964001
77,1.002439,0.054094,0.039342,0.000100,26.836980
78,0.992611,0.054588,0.042225,0.000100,27.019944
79,1.001200,0.053507,0.040403,0.000100,26.994644
80,0.996916,0.054073,0.042223,0.000100,26.912398
81,0.998932,0.054274,0.034931,0.000100,26.946774
82,1.006164,0.054222,0.038525,0.000100,26.814572
83,1.001688,0.053327,0.034876,0.000100,26.889645
84,0.995300,0.052496,0.040370,0.000100,26.777693
85,1.002921,0.054124,0.037412,0.000100,27.038615
86,1.000096,0.052830,0.034609,0.000100,27.007767
87,1.007079,0.052564,0.037595,0.000100,26.908988
88,1.004155,0.052588,0.036408,0.000100,26.852065
89,1.003821,0.052192,0.035843,0.000100,26.906892
90,1.004309,0.051636,0.035395,0.000100,26.825863
91,0.998864,0.051022,0.033101,0.000100,26.957245
92,1.004933,0.051362,0.036554,0.000100,26.964494
93,1.006995,0.051183,0.028933,0.000100,26.922308
94,1.007979,0.050779,0.037365,0.000100,26.862258
95,1.000432,0.051160,0.038927,0.000100,26.937845
96,1.003411,0.051075,0.035168,0.000100,26.810488
97,0.999485,0.049715,0.031303,0.000100,26.746033
98,1.003788,0.049520,0.030610,0.000100,26.771944
99,1.003222,0.050201,0.033448,0.000100,26.918357
100,1.006020,0.049435,0.031175,0.000100,26.828518
101,1.003487,0.049733,0.030210,0.000100,27.114064
102,1.010988,0.049153,0.033552,0.000100,26.790415
103,0.995708,0.049521,0.038491,0.000100,26.886011
104,1.007821,0.049245,0.028593,0.000100,26.880268
105,1.002723,0.048874,0.032515,0.000100,26.825097
106,1.001353,0.048904,0.032120,0.000100,26.999542
107,1.007105,0.048410,0.028772,0.000100,26.804437
108,1.004723,0.048855,0.030328,0.000100,26.737353
109,1.005294,0.047559,0.029844,0.000100,26.797012
110,1.005653,0.047442,0.028123,0.000100,26.687851
111,1.003615,0.048287,0.028495,0.000100,26.887439
112,1.006192,0.047498,0.030164,0.000100,26.705898
113,1.007625,0.047140,0.029052,0.000100,26.897314
114,0.996868,0.047247,0.031019,0.000100,26.832743
115,1.004023,0.047530,0.028695,0.000100,26.764210
116,1.005483,0.046503,0.029838,0.000100,26.904023
117,1.005662,0.046741,0.029299,0.000100,26.800519
118,1.004077,0.045946,0.026660,0.000100,26.708577
119,1.004401,0.045715,0.028760,0.000100,26.900359
120,1.004281,0.046088,0.026452,0.000100,26.971246
121,0.996538,0.046054,0.034253,0.000100,26.944770
122,1.005942,0.045400,0.029121,0.000100,26.835754
123,1.006389,0.045304,0.026317,0.000100,26.809302
124,1.006056,0.045481,0.027699,0.000100,26.851279
125,1.002842,0.045091,0.027460,0.000100,26.792059
126,1.004529,0.044556,0.027242,0.000100,26.859064
127,0.994196,0.045097,0.036312,0.000100,26.897840
128,1.006884,0.044912,0.027096,0.000100,26.891709
129,1.008954,0.044925,0.026631,0.000100,26.817814
130,1.002275,0.044316,0.027229,0.000100,26.794131
131,1.001881,0.045155,0.027053,0.000100,26.893351
132,1.006740,0.043583,0.027047,0.000100,26.753527
133,1.003547,0.043923,0.024499,0.000100,27.013407
134,1.005892,0.043226,0.026063,0.000100,27.005545
135,1.004136,0.043372,0.026744,0.000100,26.871673
136,1.004671,0.043566,0.025101,0.000100,26.853693
137,1.008737,0.042933,0.024740,0.000100,26.767179
138,1.003186,0.042916,0.026022,0.000100,26.853750
139,1.007128,0.042966,0.023906,0.000100,26.812959
140,1.006703,0.042475,0.024875,0.000100,26.820772
141,0.998447,0.042828,0.030442,0.000100,26.944612
142,1.004547,0.042320,0.024564,0.000100,26.949881
143,1.006270,0.041877,0.026753,0.000100,26.854551
144,1.006535,0.041511,0.023874,0.000100,26.845785
145,0.998321,0.041617,0.026332,0.000100,26.794581
146,0.999446,0.041970,0.027944,0.000100,26.776314
147,1.008809,0.041259,0.025172,0.000100,26.806133
148,1.003476,0.041309,0.024968,0.000100,26.907625
149,1.000274,0.041745,0.025717,0.000100,26.887001
150,1.009342,0.041758,0.024866,0.000100,26.943840
151,1.008350,0.040820,0.023921,0.000100,27.030348
152,1.004413,0.040956,0.023330,0.000100,26.846118
153,1.006422,0.041282,0.023005,0.000100,26.772323
154,0.999561,0.040597,0.027134,0.000100,26.996072
155,1.008499,0.040387,0.023085,0.000100,26.992710
156,0.999322,0.040306,0.031743,0.000100,26.882950
157,1.003328,0.040265,0.025495,0.000100,26.871228
158,1.004508,0.040140,0.024189,0.000100,26.798826
159,1.006369,0.039719,0.022511,0.000100,26.859690
160,1.006555,0.039969,0.025145,0.000100,26.706561
161,1.006658,0.039876,0.023388,0.000100,27.168199
162,1.005074,0.039812,0.023190,0.000100,26.857178
163,1.010426,0.039452,0.026064,0.000100,26.856433
164,1.002559,0.039823,0.022870,0.000100,26.877951
165,1.006655,0.039170,0.023550,0.000100,26.880136
166,1.006284,0.039379,0.022912,0.000100,26.815192
167,1.005639,0.039509,0.021862,0.000100,26.861208
168,1.003049,0.039056,0.023460,0.000100,26.986564
169,1.007597,0.038988,0.022935,0.000100,26.905071
170,1.003885,0.038944,0.021063,0.000100,26.839197
171,1.006521,0.038611,0.022545,0.000100,26.925136
172,1.005448,0.038727,0.022485,0.000100,26.833976
173,1.006026,0.038760,0.022982,0.000100,26.759314
174,1.004309,0.038077,0.021524,0.000100,26.807678
175,1.003968,0.038521,0.022804,0.000100,27.002586
176,1.006353,0.038219,0.021225,0.000100,26.894964
177,1.007447,0.038075,0.022872,0.000100,26.821766
178,1.002971,0.037722,0.020754,0.000100,26.843199
